cluster_id	cluster_name	clusterlevel	first_cluster_name	top_markers	ncells	mean_nCount_RNA	mean_nFeature_RNA	mean_percent_mt	Female	Male	Siletti	Tadross	1C41i	3u5kk	buFpQ	eXCJJ	f5sVM	siletti_H18.30.002	siletti_H19.30.001	siletti_H19.30.002	TweV8	tzan2	znZv1	1C41i_A4	1C41i_A6	1C41i_A7	1C41i_A8	1C41i_R1	1C41i_R2	3u5kk_A.01	3u5kk_A.02	3u5kk_A.03	3u5kk_A.05	3u5kk_A.06	3u5kk_A.07	3u5kk_A.08	3u5kk_A.09	3u5kk_A.10	3u5kk_R.01	3u5kk_R.02	3u5kk_R.03	3u5kk_R.04	3u5kk_R.05	3u5kk_R.06	3u5kk_R.07	3u5kk_R.08	3u5kk_R.09	3u5kk_R.10	3u5kk_R.11	buFpQ_A1	buFpQ_A3	buFpQ_R1	buFpQ_R2	buFpQ_R3	eXCJJ_N2	eXCJJ_US2	f5sVM_ARHS2	siletti_10X190_5	siletti_10X190_6	siletti_10X192_7	siletti_10X192_8	siletti_10X193_3	siletti_10X193_4	siletti_10X203_7	siletti_10X203_8	siletti_10X360_7	siletti_10X360_8	siletti_10X362_3	siletti_10X362_4	siletti_10X362_5	siletti_10X362_6	siletti_10X376_5	siletti_10X376_6	siletti_10X380_5	siletti_10X380_6	siletti_10X380_7	siletti_10X380_8	siletti_10X389_1	siletti_10X389_2	siletti_10X392_3	siletti_10X392_4	TweV8_N1	TweV8_US1	tzan2_2	tzan2_5.1	tzan2_5.2	tzan2_5.3	tzan2_5.4	tzan2_N6.3	tzan2_US6.1	tzan2_US6.2	znZv1_1AS1CB	znZv1_1AS2CB	znZv1_1AS3CB	znZv1_1AS4CB	znZv1_1CB	znZv1_S1	znZv1_S10	znZv1_S11	znZv1_S1F	znZv1_S2	znZv1_S3	znZv1_S5	znZv1_S8	znZv1_S9
C3-51	C3-51 Mid-1 GABA-3 NR2F1	C3	NR2F1	SCGN|SP8|NR2F1|NFIA|CCK	1225	7785.18	3284.12	0.2266	12.16	87.84	69.47	30.53	0	9.06	0	0	0	2.53	17.06	49.88	0	3.1	18.37	0	0	0	0	0	0	0.49	0.41	0.08	0.24	0.08	1.39	1.88	2.2	1.55	0	0.08	0	0	0	0	0	0	0.16	0.41	0.08	0	0	0	0	0	0	0	0	0.9	0.57	0	0	0	0	0.57	0.49	0.08	0.33	0.16	0	0	0	1.31	2.04	23.27	24.73	0.82	0.9	0	0.16	5.96	7.18	0	0	0	0	0	0	0	2.86	0.24	0	0	0	0	0	0	6.37	0	0	1.55	4.9	5.22	0.08	0.24	0
C3-52	C3-52 Mid-1 GABA-3 ECEL1	C3	ECEL1	GPC3|ECEL1|NR2F1|MEIS2|KCNMB2	1679	8448.77	3387.2	0.4543	9.41	90.59	60.51	39.49	0.77	6.13	0	0	0	2.08	15.6	42.82	0	3.28	29.3	0.24	0.12	0.3	0.06	0.06	0	0	0.06	0.3	0.06	0.06	0.95	1.79	1.43	1.37	0	0	0	0.06	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.95	0.83	0	0	0	0.06	0.12	0.12	0.42	0.42	0	0	0	0	1.25	1.37	20.01	22.39	0.18	0.24	0.24	0.12	5.72	6.08	0	0	0	0.48	0.36	0.77	0.42	0.89	0.24	0.12	0.18	0.06	0.06	0.3	0.24	17.33	0	0	5.78	2.8	2.08	0.18	0.3	0
C3-53	C3-53 Mid-1 GABA-3 SFRP1	C3	SFRP1	SFRP1|LHX6|BHLHE22|ST18|PDGFD	914	6647.76	2871.85	0.2908	5.91	94.09	64.88	35.12	0.98	3.5	0	0	0	3.17	13.68	48.03	0	2.41	28.23	0.44	0.11	0.33	0.11	0	0	0	0.11	0	0.11	0.22	0.22	0.66	0.88	1.2	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	1.31	1.42	0	0	0	0.44	0	0	2.84	1.75	1.2	2.19	0	0	0.44	0.77	20.79	20.24	1.42	2.19	2.74	2.52	1.31	1.31	0	0	1.42	0	0	0	0	0.77	0.11	0.11	0	0.11	0	0.11	0.11	14.11	0.33	0.22	3.94	3.72	4.92	0.11	0.22	0.33
C3-2	C3-2 Astrocytes-2 VAV3	C3	VAV3	VAV3|ANGPTL4|KCND2|EGLN3	21951	4623.82	2144.57	0.1657	71.59	28.41	2.31	97.69	2.4	67.9	13.14	0.56	0.24	0.62	0.89	0.79	0.27	2.62	10.56	0.23	0.38	0.51	0.42	0.57	0.3	0.47	0.89	0.84	1.1	0.58	8.82	11.66	12.99	12.74	0.22	0.24	0.27	0.28	0.21	0.25	0.25	1.88	3.35	5.08	5.77	4.12	1.59	2.07	2.52	2.85	0	0.55	0.24	0.08	0.08	0.01	0	0.07	0.08	0.17	0.14	0.1	0.07	0.25	0.21	0	0.01	0.14	0.17	0.1	0.13	0.03	0.06	0.09	0.06	0.11	0.12	0.05	0.22	0.44	0.3	0.29	0.37	0.3	0.31	0.33	0.28	1.66	1.29	1.7	1.71	1.29	0.71	0.72	0.25	0.2	0.44	0.05	0.13	0.02	0.39
C3-2	C3-2 Astrocytes-2 VAV3	C3	VAV3	VAV3|ANGPTL4|KCND2|EGLN3	21951	4623.82	2144.57	0.1657	71.59	28.41	2.31	97.69	2.4	67.9	13.14	0.56	0.24	0.62	0.89	0.79	0.27	2.62	10.56	0.23	0.38	0.51	0.42	0.57	0.3	0.47	0.89	0.84	1.1	0.58	8.82	11.66	12.99	12.74	0.22	0.24	0.27	0.28	0.21	0.25	0.25	1.88	3.35	5.08	5.77	4.12	1.59	2.07	2.52	2.85	0	0.55	0.24	0.08	0.08	0.01	0	0.07	0.08	0.17	0.14	0.1	0.07	0.25	0.21	0	0.01	0.14	0.17	0.1	0.13	0.03	0.06	0.09	0.06	0.11	0.12	0.05	0.22	0.44	0.3	0.29	0.37	0.3	0.31	0.33	0.28	1.66	1.29	1.7	1.71	1.29	0.71	0.72	0.25	0.2	0.44	0.05	0.13	0.02	0.39
C3-3	C3-3 Astrocytes-2 CPAMD8	C3	CPAMD8	CPAMD8|BTBD11|TTN|SLC24A4|GPC6	1841	3285.67	1798.25	0.2993	19.17	80.83	3.64	96.36	48.83	6.63	8.69	3.31	2.55	0.71	2.77	0.16	0.76	5.92	19.66	2.82	10.27	11.9	11.79	7.17	4.89	0.05	0.05	0.27	0	0.05	0.76	1.52	1.79	1.41	0	0	0	0	0	0	0	0.11	0.16	0.16	0.27	3.42	0.87	1.9	1.36	1.14	0.05	3.26	2.55	0	0	0	0	0.38	0.33	0	0	0.27	0.22	0.05	0.05	0	0	0.92	1.03	0	0.05	0	0	0.16	0.11	0.05	0	0.05	0.71	0.38	0.6	0.16	0.05	0.05	1.14	1.68	1.85	3.53	2.44	3.8	3.42	3.48	0.11	0.87	0.65	0.05	0.43	0.11	0.54	0.05	0.16
C3-3	C3-3 Astrocytes-2 CPAMD8	C3	CPAMD8	CPAMD8|BTBD11|TTN|SLC24A4|GPC6	1841	3285.67	1798.25	0.2993	19.17	80.83	3.64	96.36	48.83	6.63	8.69	3.31	2.55	0.71	2.77	0.16	0.76	5.92	19.66	2.82	10.27	11.9	11.79	7.17	4.89	0.05	0.05	0.27	0	0.05	0.76	1.52	1.79	1.41	0	0	0	0	0	0	0	0.11	0.16	0.16	0.27	3.42	0.87	1.9	1.36	1.14	0.05	3.26	2.55	0	0	0	0	0.38	0.33	0	0	0.27	0.22	0.05	0.05	0	0	0.92	1.03	0	0.05	0	0	0.16	0.11	0.05	0	0.05	0.71	0.38	0.6	0.16	0.05	0.05	1.14	1.68	1.85	3.53	2.44	3.8	3.42	3.48	0.11	0.87	0.65	0.05	0.43	0.11	0.54	0.05	0.16
C3-4	C3-4 Astrocytes-2 NEFM	C3	NEFM	NEFM|NEFH|SYT1|CNTNAP2|PLP1	1913	3340.6	1866.13	0.9595	25.61	74.39	3.45	96.55	64.66	22.01	3.71	0.26	2.25	1.99	1.2	0.26	0.1	0.99	2.56	35.23	3.92	2.14	3.29	6.27	13.8	0.16	0.05	0	0.05	0.05	1.78	3.55	1.99	5.44	0	0.1	0.26	0	0	0	0.05	0.52	0.94	3.4	3.66	1.36	0.68	0.26	0.42	0.99	0	0.26	2.25	0.52	0.52	0.05	0	0.47	0.37	0	0.05	0.26	0.58	0	0	0	0	0.16	0.16	0.05	0.16	0	0.05	0.05	0	0	0	0.05	0.05	0	0	0.31	0.21	0.16	0.26	0	0.05	0.31	0.16	0.16	0.26	0.21	0.16	0.05	0.05	0.21	0.16	0.05	0.68	0	0.1
C3-4	C3-4 Astrocytes-2 NEFM	C3	NEFM	NEFM|NEFH|SYT1|CNTNAP2|PLP1	1913	3340.6	1866.13	0.9595	25.61	74.39	3.45	96.55	64.66	22.01	3.71	0.26	2.25	1.99	1.2	0.26	0.1	0.99	2.56	35.23	3.92	2.14	3.29	6.27	13.8	0.16	0.05	0	0.05	0.05	1.78	3.55	1.99	5.44	0	0.1	0.26	0	0	0	0.05	0.52	0.94	3.4	3.66	1.36	0.68	0.26	0.42	0.99	0	0.26	2.25	0.52	0.52	0.05	0	0.47	0.37	0	0.05	0.26	0.58	0	0	0	0	0.16	0.16	0.05	0.16	0	0.05	0.05	0	0	0	0.05	0.05	0	0	0.31	0.21	0.16	0.26	0	0.05	0.31	0.16	0.16	0.26	0.21	0.16	0.05	0.05	0.21	0.16	0.05	0.68	0	0.1
C3-5	C3-5 Astrocytes-2 TSPAN18	C3	TSPAN18	TSPAN18|LGR6|NPFFR1|SLC14A1|DGKG	4411	3474.09	1846.25	0.2708	49.38	50.62	0.45	99.55	37.91	5.19	10.97	3.24	39.36	0.2	0.18	0.07	0.95	0.63	1.29	0.43	8	10.7	11.24	5.17	2.36	0.02	0.05	0.02	0.07	0	0.63	0.79	1.54	0.95	0	0	0	0.02	0.05	0	0	0.16	0.2	0.43	0.25	1.16	0.66	2.74	2.97	3.45	0.05	3.2	39.36	0.02	0.05	0	0	0.05	0.02	0.07	0	0	0	0.02	0.05	0	0	0.07	0.05	0	0	0	0	0.02	0.02	0.02	0	0	0.95	0.11	0	0	0	0.02	0.18	0.18	0.14	0.05	0.05	0.05	0.18	0.11	0.11	0.18	0.05	0.09	0.23	0.02	0.07	0	0.11
C3-5	C3-5 Astrocytes-2 TSPAN18	C3	TSPAN18	TSPAN18|LGR6|NPFFR1|SLC14A1|DGKG	4411	3474.09	1846.25	0.2708	49.38	50.62	0.45	99.55	37.91	5.19	10.97	3.24	39.36	0.2	0.18	0.07	0.95	0.63	1.29	0.43	8	10.7	11.24	5.17	2.36	0.02	0.05	0.02	0.07	0	0.63	0.79	1.54	0.95	0	0	0	0.02	0.05	0	0	0.16	0.2	0.43	0.25	1.16	0.66	2.74	2.97	3.45	0.05	3.2	39.36	0.02	0.05	0	0	0.05	0.02	0.07	0	0	0	0.02	0.05	0	0	0.07	0.05	0	0	0	0	0.02	0.02	0.02	0	0	0.95	0.11	0	0	0	0.02	0.18	0.18	0.14	0.05	0.05	0.05	0.18	0.11	0.11	0.18	0.05	0.09	0.23	0.02	0.07	0	0.11
C3-6	C3-6 Astrocytes-2 CHI3L1	C3	CHI3L1	CHI3L1|C11orf96|SERPINA3|HILPDA|SLC39A14	351	5154.99	2377.46	0.16	57.55	42.45	1.71	98.29	6.27	54.42	30.77	1.42	0.85	1.14	0.28	0.28	0.57	0.28	3.7	0.57	1.14	1.14	1.71	0.57	1.14	0.57	0.57	0.85	0.85	0.57	8.55	9.97	9.97	10.26	0	0	1.14	0.28	1.42	0	0.28	1.42	2.85	2.56	2.28	10.54	4.27	5.41	6.27	4.27	0	1.42	0.85	0	0.28	0.28	0.57	0	0	0	0	0	0.28	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0.28	0	0	0	0	0	0	0	0	0.57	0.28	0.28	0.57	0.57	0.57	0	0.28	0.28	0	0	0	0.28
C3-6	C3-6 Astrocytes-2 CHI3L1	C3	CHI3L1	CHI3L1|C11orf96|SERPINA3|HILPDA|SLC39A14	351	5154.99	2377.46	0.16	57.55	42.45	1.71	98.29	6.27	54.42	30.77	1.42	0.85	1.14	0.28	0.28	0.57	0.28	3.7	0.57	1.14	1.14	1.71	0.57	1.14	0.57	0.57	0.85	0.85	0.57	8.55	9.97	9.97	10.26	0	0	1.14	0.28	1.42	0	0.28	1.42	2.85	2.56	2.28	10.54	4.27	5.41	6.27	4.27	0	1.42	0.85	0	0.28	0.28	0.57	0	0	0	0	0	0.28	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0.28	0	0	0	0	0	0	0	0	0.57	0.28	0.28	0.57	0.57	0.57	0	0.28	0.28	0	0	0	0.28
C3-7	C3-7 Astrocytes-2 LAMA2	C3	LAMA2	LAMA2|UNC5D|SULF2|GABBR2|CHI3L1	2151	4474.77	2165.89	0.1975	85.08	14.92	3.91	96.09	0.19	79.92	0.05	0	0.05	1.77	1.86	0.28	0.05	5.07	10.79	0	0.09	0	0.09	0	0	0.65	0.88	1.21	0.98	0.74	12.04	15.71	18.08	21.52	0.09	0	0.09	0.05	0.05	0.05	0	0.98	1.63	2.6	2.56	0	0	0.05	0	0	0	0	0.05	0.98	0.56	0	0.14	0	0	0.05	0.05	0.28	0.28	0.09	0	0	0.09	0	0.14	0	0.05	0.05	0.09	0	0	0.7	0.37	0	0.05	1.02	0.09	0.05	0.05	0.09	0.98	1.35	1.44	0.46	0.37	0.42	0.51	0.51	3.35	0.65	0.56	0.79	2.09	0.23	0.09	0.23	0.51
C3-7	C3-7 Astrocytes-2 LAMA2	C3	LAMA2	LAMA2|UNC5D|SULF2|GABBR2|CHI3L1	2151	4474.77	2165.89	0.1975	85.08	14.92	3.91	96.09	0.19	79.92	0.05	0	0.05	1.77	1.86	0.28	0.05	5.07	10.79	0	0.09	0	0.09	0	0	0.65	0.88	1.21	0.98	0.74	12.04	15.71	18.08	21.52	0.09	0	0.09	0.05	0.05	0.05	0	0.98	1.63	2.6	2.56	0	0	0.05	0	0	0	0	0.05	0.98	0.56	0	0.14	0	0	0.05	0.05	0.28	0.28	0.09	0	0	0.09	0	0.14	0	0.05	0.05	0.09	0	0	0.7	0.37	0	0.05	1.02	0.09	0.05	0.05	0.09	0.98	1.35	1.44	0.46	0.37	0.42	0.51	0.51	3.35	0.65	0.56	0.79	2.09	0.23	0.09	0.23	0.51
C3-8	C3-8 Astrocytes-2 HES5	C3	HES5	HES5|GABBR2|HES4|GLUL|RASL10A	3751	2772.22	1527.52	0.4692	37.51	62.49	23.91	76.09	0.88	31.48	0.13	0.05	0.13	5.73	8.53	9.65	0.03	5.81	37.56	0.13	0.13	0.13	0.24	0.16	0.08	0.13	0.19	0.16	0.24	0.11	4.05	4.83	6.48	6.96	0.03	0.05	0	0	0.05	0.08	0	0.99	1.89	2.48	2.77	0.03	0	0.03	0.05	0.03	0	0.05	0.13	1.79	1.6	0	0	0.03	0.05	0.91	1.36	1.49	1.57	1.09	0.93	0.05	0.05	0.72	0.72	2.35	2.85	1.28	1.15	0.27	0.29	1.65	1.71	0	0.03	3.55	0.19	0.19	0.16	0.05	0.56	0.51	0.61	1.07	0.96	0.96	1.2	0.43	20.5	1.6	1.31	4.05	4.27	0.21	0.13	0.03	0.85
C3-8	C3-8 Astrocytes-2 HES5	C3	HES5	HES5|GABBR2|HES4|GLUL|RASL10A	3751	2772.22	1527.52	0.4692	37.51	62.49	23.91	76.09	0.88	31.48	0.13	0.05	0.13	5.73	8.53	9.65	0.03	5.81	37.56	0.13	0.13	0.13	0.24	0.16	0.08	0.13	0.19	0.16	0.24	0.11	4.05	4.83	6.48	6.96	0.03	0.05	0	0	0.05	0.08	0	0.99	1.89	2.48	2.77	0.03	0	0.03	0.05	0.03	0	0.05	0.13	1.79	1.6	0	0	0.03	0.05	0.91	1.36	1.49	1.57	1.09	0.93	0.05	0.05	0.72	0.72	2.35	2.85	1.28	1.15	0.27	0.29	1.65	1.71	0	0.03	3.55	0.19	0.19	0.16	0.05	0.56	0.51	0.61	1.07	0.96	0.96	1.2	0.43	20.5	1.6	1.31	4.05	4.27	0.21	0.13	0.03	0.85
C3-9	C3-9 Astrocytes-2 SERPINA3	C3	SERPINA3	SERPINA3|GABBR2|CADPS|EGF|SULF2	413	3862.44	1971.67	0.4322	83.54	16.46	1.94	98.06	0.48	82.32	0.24	0	0	1.21	0.48	0.24	0.24	0.97	13.8	0	0	0.24	0	0.24	0	0.73	0.97	0.48	1.21	0.48	12.59	15.74	21.31	19.37	0	0.24	0	0.24	0	0	0.48	1.21	1.94	2.18	3.15	0	0	0	0	0.24	0	0	0	0.73	0.24	0	0	0	0	0.24	0	0	0	0	0	0	0	0.24	0	0	0.24	0	0	0	0	0	0.24	0	0.24	0	0	0	0.24	0	0.24	0.24	0.24	0	0	0.24	0	0.24	9.93	0	0.24	1.69	1.21	0.24	0	0	0
C3-9	C3-9 Astrocytes-2 SERPINA3	C3	SERPINA3	SERPINA3|GABBR2|CADPS|EGF|SULF2	413	3862.44	1971.67	0.4322	83.54	16.46	1.94	98.06	0.48	82.32	0.24	0	0	1.21	0.48	0.24	0.24	0.97	13.8	0	0	0.24	0	0.24	0	0.73	0.97	0.48	1.21	0.48	12.59	15.74	21.31	19.37	0	0.24	0	0.24	0	0	0.48	1.21	1.94	2.18	3.15	0	0	0	0	0.24	0	0	0	0.73	0.24	0	0	0	0	0.24	0	0	0	0	0	0	0	0.24	0	0	0.24	0	0	0	0	0	0.24	0	0.24	0	0	0	0.24	0	0.24	0.24	0.24	0	0	0.24	0	0.24	9.93	0	0.24	1.69	1.21	0.24	0	0	0
C3-54	C3-54 Mid-1 GABA-4 NTS	C3	NTS	ESR1|FAM9B|NTS|TMEM114|PGR	867	28148.1	6635.07	0.1744	26.18	73.82	68.63	31.37	0	24.45	0	0	0	29.07	36.68	2.88	0	1.73	5.19	0	0	0	0	0	0	0.35	0.35	0.35	0.35	0.12	2.88	4.04	4.61	3.69	0.12	0.12	0.92	0	0	0	0	0.46	1.15	1.73	3.23	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	14.88	14.07	0.12	0	0	0	0	0	6	6.11	0.92	1.85	0.12	0	0	0	10.73	13.73	0	0	0	0.12	0.46	0	0.23	0.92	0	0	0	0	0	0	0	0.12	0	0	0	3	2.08	0	0	0
C3-55	C3-55 Mid-1 GABA-4 OR8A1	C3	OR8A1	SCGN|OR8A1|NPSR1|RELN|EPHA3	861	27119.78	6400.98	0.2187	13.82	86.18	72.82	27.18	0	12.31	0	0	0	36	35.54	1.28	0	1.51	13.36	0	0	0	0	0	0	0.12	0.46	0.23	0.12	0.12	0.93	2.21	3.02	1.39	0	0.12	0	0.12	0.35	0	0.23	0.35	0.35	1.28	0.93	0	0	0	0	0	0	0	0	0.23	0.35	0	0	0	0	18.35	17.07	0	0	0	0	0	0	1.28	1.28	0.35	0.81	0	0.12	0	0	14.75	18.23	0	0	0	0	0	0	0	1.39	0.12	0	0	0	0	0	0	0.35	0	0	0.12	6.97	5.81	0	0	0.12
C3-56	C3-56 Mid-1 GABA-4 HMX3	C3	HMX3	HMCN1|HMX3|RORB|DLX1|THSD7B	1853	14569.14	4625.66	0.1707	16.46	83.54	73.99	26.01	0	14.57	0.11	0	0	19.59	27.36	27.04	0	1.89	9.44	0	0	0	0	0	0	0.05	0	0.16	0.16	0.27	1.24	1.62	2.1	1.83	0	0.16	0.54	0.22	0.11	0.11	0	0.81	0.65	1.83	2.7	0	0	0	0.11	0	0	0	0	1.35	1.24	0	0	0	0	8.31	8.69	0	0	0	0	0	0	6.21	5.67	11.76	14.25	0.27	0.76	0	0	7.77	7.72	0	0	0	0.05	0	0	0	1.51	0.32	0	0	0	0	0	0	0.81	0	0	0.65	4.05	3.72	0.05	0.16	0
C3-57	C3-57 Mid-1 GABA-5 TRPC4	C3	TRPC4	NPSR1|DLK1|HMX3|RORB|DLX1	1249	9024.04	3597.07	0.4618	8.41	91.59	54.76	45.24	0	5.2	0	0	0	3.68	15.85	35.23	0	3.2	36.83	0	0	0	0	0	0	0	0.08	0.16	0.16	0.08	0.8	1.2	1.2	1.2	0	0	0.08	0	0	0	0	0	0	0.08	0.16	0	0	0	0	0	0	0	0	1.52	2.08	0	0	0	0	0.08	0	6.33	7.05	0.4	0.48	0	0.08	0.4	0.08	14.97	17.29	1.04	1.04	0.56	0.72	0.32	0.32	0	0	2.24	0	0	0	0.08	0.72	0.16	0	0.24	0.48	0.16	0.56	0	12.89	0.64	0.8	4.24	6.97	9.13	0.48	0.08	0.16
C3-58	C3-58 Mid-1 GABA-5 GAL	C3	GAL	MORC1|MBNL3|NTS|ECEL1|RORB	739	16304.34	4759.35	0.2439	12.04	87.96	65.22	34.78	0	4.06	0	0	0	22.46	33.69	9.07	0	7.98	22.73	0	0	0	0	0	0	0	0.27	0.27	0	0	0.27	1.08	0.81	0.41	0	0	0	0	0	0	0	0.14	0.27	0.27	0.27	0	0	0	0	0	0	0	0	10.01	12.45	0	0	0	0	0	0	14.34	12.18	0.14	0	0.27	0.41	0	0	2.44	2.44	1.49	2.57	0.68	0.54	2.17	3.11	0	0	4.19	0.41	0.41	0.81	0.27	1.35	0.41	0.14	1.35	1.62	0.95	2.17	1.22	0.14	0.95	1.62	0	5.95	6.09	0.14	0	0.54
C3-59	C3-59 Mid-1 GABA-5 DLK1	C3	DLK1	DLK1|PROX1|ARHGAP36|ECEL1|NTS	1602	10776.36	3873.38	0.3869	13.48	86.52	53.43	46.57	0.06	5.81	0	0	0	4.81	19.04	29.59	0	7.68	33.02	0.06	0	0	0	0	0	0.06	0.06	0.06	0.25	0	1.37	1.44	1.56	0.94	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	2.31	2.43	0	0	0.06	0	0	0	6.93	7.37	1.25	1	0	0	0.19	0.12	10.74	13.86	1.12	1.62	1.19	1.25	0.62	1.37	0	0	4.68	0.31	0.31	0.31	0.37	1.5	0.06	0.12	1.12	0.87	0.75	0.69	1.75	7.3	0.69	0.87	1.87	6.62	9.8	0.44	0.06	0.19
C3-60	C3-60 Mid-1 GABA-5 RORB	C3	RORB	RORB|NTS|HMX3|ECEL1|NPSR1	808	14211.62	4401.87	0.1842	12.13	87.87	72.03	27.97	0	9.41	0	0	0	17.95	27.6	26.49	0	2.72	15.84	0	0	0	0	0	0	0	0.12	0	0	0.12	0.74	0.99	2.72	1.86	0.12	0.12	0.12	0	0	0	0	0.25	0.5	0.74	0.99	0	0	0	0	0	0	0	0	4.21	7.05	0	0	0	0	3.71	2.97	7.67	4.58	0.12	0.12	0.62	1.49	0.5	0.5	5.57	5.94	7.43	7.3	0.12	0	6.68	5.45	0	0	0.87	0.12	0	0.12	0.12	1.36	0	0.12	0.12	0.37	0.25	0.37	0.12	0.62	0.37	0	0.37	6.19	5.94	0.25	0.62	0.25
C3-61	C3-61 Mid-1 GABA-5 FOXD2	C3	FOXD2	FOXD2|PROX1|TMEM176B|ARHGAP36|PENK	916	9365.84	3764.07	0.176	3.93	96.07	87.23	12.77	0	1.97	0	0	0	10.48	43.45	33.3	0	1.97	8.84	0	0	0	0	0	0	0	0	0	0	0.11	0.11	0.33	0.44	0.66	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	4.04	6.33	0	0	0	0	0.11	0	22.16	20.2	1.75	1.31	0	0	0.11	0	12.23	11.68	2.84	3.49	0.44	0.44	0	0.11	0	0	0.98	0	0	0	0	0.66	0.11	0.22	0	0	0.11	0	0	1.97	1.42	0.33	0.66	2.18	1.86	0	0	0.33
C3-62	C3-62 Mid-1 GABA-6 ADAMTSL1	C3	ADAMTSL1	HMCN1|MYO3B|ADAMTSL1|TLL1|OTP	1550	22321.29	5541.7	0.1136	3.81	96.19	84.32	15.68	0	2.77	0	0	0	28.45	38.71	17.16	0	1.03	11.87	0	0	0	0	0	0	0	0.06	0	0	0.06	0.32	0.19	0.39	0.26	0	0	0.06	0	0	0.13	0	0.13	0.19	0.52	0.45	0	0	0	0	0	0	0	0	14.13	14.32	0	0	0	0	0	0	19.35	14.39	0.39	0.26	0.06	0	0	0	0.19	0.39	8.26	7.68	0.06	0.39	1.94	2.52	0	0	0	0	0.06	0	0	0.97	0	0	0.84	0.39	0.32	0.77	0.26	0.06	0.19	2.77	0.06	2.19	3.74	0	0	0.26
C3-63	C3-63 Mid-1 GABA-6 TRHDE	C3	TRHDE	SOX6|DLK1|SLC10A4|RORB|ISL1	1047	12110.81	3901.28	0.3315	10.32	89.68	59.41	40.59	0.1	6.88	0	0	0	16.52	13.75	29.13	0	3.44	30.18	0	0	0	0.1	0	0	0.1	0	0.1	0.48	0	0.67	1.43	1.62	2.1	0	0	0	0	0	0	0	0.1	0	0.1	0.19	0	0	0	0	0	0	0	0	7.55	8.88	0	0	0	0	0.1	0	1.91	2.67	1.34	0.96	0.1	0.57	0.19	0.1	10.7	11.75	2.48	1.91	0.48	0.86	3.34	3.53	0	0	0	0.1	0	0.19	0.19	2.48	0.38	0.1	0.1	0.67	0.19	0.57	0.67	9.74	0	0.57	2.96	5.64	8.4	0.1	0.57	0
C3-64	C3-64 Mid-1 GABA-6 SLC10A4	C3	SLC10A4	SLC10A4|DLK1|BHLHE22|OTP|SNTB1	723	14176.39	4488.49	0.0572	1.8	98.2	92.53	7.47	0	0.97	0	0	0	17.7	30.15	44.67	0	0.83	5.67	0	0	0	0	0	0	0	0	0	0	0	0.14	0.28	0	0.28	0	0	0	0	0	0	0	0.14	0.14	0	0	0	0	0	0	0	0	0	0	7.47	9.96	0	0	0.28	0	0	0	11.2	11.34	3.73	2.63	0.69	0.83	0	0	0.41	0.41	19.64	17.84	0.28	0.14	2.49	3.18	0	0	0.14	0	0	0	0	0.69	0	0	0	0	0	0	0	0.41	0	0.28	0.14	3.04	1.11	0	0.41	0.28
C3-65	C3-65 Mid-1 GABA-6 IL13RA1	C3	IL13RA1	GHRH|DLK1|GHSR|GABRE|SST	1134	21912.69	5578.82	0.0539	2.38	97.62	93.03	6.97	0	1.59	0	0	0	31.92	34.48	26.63	0	0.79	4.59	0	0	0	0	0	0	0	0	0	0.09	0	0	0.26	0.26	0.35	0.09	0	0	0	0	0	0	0	0.18	0.09	0.26	0	0	0	0	0	0	0	0	14.81	17.11	0	0	0	0	0	0	14.9	11.82	2.2	2.2	1.68	1.85	0	0	0.62	0.26	9.79	11.55	0.44	0	1.32	2.47	0	0	0.18	0	0.09	0.09	0.09	0.35	0	0	0.26	0.18	0.09	0.53	0.09	0	0.09	0.97	0	1.23	1.06	0	0	0.09
C3-66	C3-66 Mid-1 GABA-7 KCNH8	C3	KCNH8	LEF1|ADAMTS6|PTGER3|RELN|NPSR1	1331	18401.16	4787.34	0.1913	4.66	95.34	74.68	25.32	0.08	1.73	0.08	0	0	6.69	31.78	36.21	0	2.93	20.51	0.08	0	0	0	0	0	0	0	0	0.08	0	0.38	0.45	0.3	0.3	0	0	0	0	0.08	0	0	0	0.08	0	0.08	0	0.08	0	0	0	0	0	0	3.01	3.53	0	0	0.08	0.08	0	0	12.77	11.34	8.79	8.79	0.08	0.15	0	0	7.59	7.29	1.73	2.03	3.68	3.46	0.23	0.08	0	0	2.48	0	0.15	0	0	0.3	0	0	0.3	0.23	0.23	0.08	0.15	2.03	0.83	1.73	0.83	5.03	8.26	0.38	0.08	0.38
