reduction	mixingknn	mean_knn_purity	asw	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_696af7615621c17bc5ed245e393117c2	0.456104598102772	0.462561070849319	0.0290916213798583	scVI	80	2000	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_8058f62d3672f101d9f50895852edfa8	0.450091530342753	0.46525527952397	0.0294311012265973	scVI	80	2500	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_c6198ee5d7df36860b9759397cee5e53	0.447283950047949	0.463510162377818	0.0357196273325555	scVI	80	3000	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_a513fbe43dbb1372ad9ad88a8d5182a7	0.442238995838928	0.460917838663459	0.0304350027266192	scVI	80	3500	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_bbcda985b36b8baa51ad90bae6d0426d	0.459681338363366	0.463805099189803	0.0558772844293692	scVI	50	1500	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_ea02d764ce6bf927296ea75654fa5385	0.453867224188554	0.463414486015155	0.0566678622874032	scVI	50	2000	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_c66e6c1f02ca35ba82b4cb2cbeb7565b	0.447283950047949	0.468357500354811	0.0568522875153185	scVI	50	2500	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_6363b17ca393f8fcc6251465f511055c	0.442238995838928	0.465901735054744	0.0612681486453	scVI	50	3000	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_2a67008d244320ff851baad74aa9b250	0.442238995838928	0.463428474882164	0.0613113515830737	scVI	50	3500	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_d9a588e13c44c0debbea1f34546ffc5e	0.462365591537501	0.461303943500122	0.0406539044972265	scVI	80	1500	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_281871c955e12431b3b7ee797be7560f	0.457642918034354	0.466789513968648	0.0427918894783615	scVI	80	2000	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_7539d8dd7056ec8ea085c550600d70c7	0.453867224188554	0.467182005177202	0.0511249876830464	scVI	80	2500	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_9020847bbccc6977b1e299d05d42680c	0.446961669342075	0.469250693656387	0.0535097427565427	scVI	80	3000	150_0.1_2_256	2	150	0.1
scVI_0_150_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_877377a66a91e1168711fdd0a3e0ec03	0.446961669342075	0.465001195843567	0.0548961486903699	scVI	80	3500	150_0.1_2_256	2	150	0.1
PCA_Sample_ID.50.1500	0.389443955112045	0.480220167656021	0.0494765424934743	PCA	50	1500	PCA			
PCA_Sample_ID.50.2000	0.371033499036609	0.473363820236097	0.0589746528773319	PCA	50	2000	PCA			
PCA_Sample_ID.50.2500	0.358636110721192	0.470189318551933	0.060050430312063	PCA	50	2500	PCA			
PCA_Sample_ID.50.3000	0.347954862028912	0.464934658243249	0.067259465443474	PCA	50	3000	PCA			
PCA_Sample_ID.50.3500	0.341962928162544	0.460144875401122	0.0678121699570337	PCA	50	3500	PCA			
PCA_Sample_ID.80.1500	0.376847613211422	0.505253065957153	0.0480664434932574	PCA	80	1500	PCA			
PCA_Sample_ID.80.2000	0.358313830015317	0.502012297081779	0.0567595968856117	PCA	80	2000	PCA			
PCA_Sample_ID.80.2500	0.345469562439984	0.499125034174243	0.0638164548576874	PCA	80	2500	PCA			
PCA_Sample_ID.80.3000	0.334411540470943	0.495476098009351	0.0620776405292339	PCA	80	3000	PCA			
PCA_Sample_ID.80.3500	0.326736825658673	0.490330904176647	0.0673708469019809	PCA	80	3500	PCA			
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_06113a69de51a855c197b45ae2845303	0.446961669342075	0.466674588278288	0.0496593359892009	scVI	50	1500	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_19f670693e2bde263e9d6b8220b5d82b	0.441469835873137	0.463350279205024	0.0512407177838662	scVI	50	2000	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_9ea911f27647d616b208613997cf7c3a	0.434886561732533	0.46950577095943	0.0500396721188052	scVI	50	2500	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_0e9e01d3956a274da6f9c5a81b71d02e	0.429841607523511	0.467944971769516	0.0496359568278603	scVI	50	3000	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_3277a3fa60116477df84997db0cae452	0.421967939126035	0.469869206026311	0.049009716019286	scVI	50	3500	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_07d7ac4147183e3c4b8fe58b3c73b5c6	0.453867224188554	0.462490916213517	0.0314590185671578	scVI	80	1500	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_c3393f5981653aba146dce15e63b6316	0.448053110013741	0.466211439045318	0.0322511344377789	scVI	80	2000	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_b04d044765b7c18e7078de1735364ab0	0.442238995838928	0.468027358011393	0.0336872573981916	scVI	80	2500	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_0699955a6538a04fbbfa2f38bc355e7f	0.441469835873137	0.468486389202544	0.036415988305434	scVI	80	3000	100_0.1_1_256	1	100	0.1
scVI_0_100_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_4aff2bad99f0d419c2ce8de308261603	0.435655721698324	0.461984531105056	0.0359312175102183	scVI	80	3500	100_0.1_1_256	1	100	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_771d04a898c022ed26e8d7ba2ca78688	0.453867224188554	0.456150346066375	0.0721098489783505	scVI	50	1500	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_0187e9e4b1a29bad371f7ade230411aa	0.452775783516888	0.452144975732874	0.0740326857007538	scVI	50	2000	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_4cd0f5155aef5a2c384da15a1be1cde5	0.447283950047949	0.451502843554533	0.0719728146002774	scVI	50	2500	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_e7bfa6f0dcff998ae69bc6b1001c1a01	0.442238995838928	0.450001406624246	0.0757929406287503	scVI	50	3000	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_9313481d545c617e94a5f227170844c0	0.441469835873137	0.452851789071827	0.0737013656185413	scVI	50	3500	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_c580545eb8f8dfeba5669d9b8086ab32	0.456873758068563	0.456720191478297	0.0692683750568128	scVI	80	1500	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_8efe0f5d80a2bae2a909b48115f02f4f	0.450091530342753	0.453462790554449	0.073694979599032	scVI	80	2000	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_686109339074072418bf054cc251f7d1	0.447283950047949	0.453226736850291	0.073671563799148	scVI	80	2500	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_5e5501e7608ccb03a8a62ca6ccfe55b7	0.44427741616794	0.450154766054283	0.0734210973781144	scVI	80	3000	150_0.1_3_256	3	150	0.1
scVI_0_150_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_7de1495a2f42ff223e4294af39c75902	0.440700675907346	0.448546895199569	0.0733205494059224	scVI	80	3500	150_0.1_3_256	3	150	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_4f9022690cdd78d9bba374829ed0d7bc	0.456873758068563	0.458428584328196	0.0410530678449628	scVI	50	1500	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_029abb7b12f97677a2c4b6d0bd0702f2	0.45105964389375	0.455488701325539	0.0372402750505028	scVI	50	2000	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_d133b7d404bd2f194c7127d9a80cafd3	0.446961669342075	0.460358576059628	0.0367700224542471	scVI	50	2500	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_3e2b487eb73b1db305b2475e08d0a0ca	0.441469835873137	0.456529095440894	0.0379576881992963	scVI	50	3000	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_69207b3a537e7726744675bd080c003b	0.436424881664115	0.462639712540111	0.0388684066474022	scVI	50	3500	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_a6a3eb47bf85019c79d24261e744f476	0.456873758068563	0.458201525540791	0.0187392987262591	scVI	80	1500	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_8fe52ba76d6c4b0ef38386e72f8a21be	0.456104598102772	0.460582943939554	0.0137972755284283	scVI	80	2000	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_19833dfb39ad271c37218615296f3207	0.450091530342753	0.460712312719465	0.0217953942261414	scVI	80	2500	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_cb862d550ea076dfdc0e209324998421	0.447283950047949	0.461277279800782	0.0222926294111284	scVI	80	3000	250_0.1_1_256	1	250	0.1
scVI_0_250_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_ddcc3f2aa061819c28c7ca19ba46df0c	0.442238995838928	0.459513293632183	0.0219659949224282	scVI	80	3500	250_0.1_1_256	1	250	0.1
