human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-91 Mid-1 GABA-3 LHX1 PTGFR	0.05	0	0	0.3	0.07	0.03	0.39	0.48	0.44	0	0.02	0.32	PTGFR|LHX1|ARX|THSD7B	LH	#3D61CC	C4-91	C3-48	C465-202: Tac2.Arx.Lhx1.GABA-2	0.809	1	0.14	0.01	0	0.4	0.24	0.03	2.09	0.06	0.04	0	0.14	1.49
C4-102 Mid-1 GABA-3 LHX6 LHX1	0.05	0	0	1.39	0.08	0	0.28	0.27	0.25	0	0.11	0.43	LHX1|LHX6|MOXD1|IL18R1|PCDH11Y			C4-102	C3-50															
C4-356 Mid-2 GABA-GLU-1 RGS22 GPC3	0.05	0	0	0.1	0.04	0.02	0	0.41	0.16	0	0.02	0.46	SST|GPC3|OTP|SPHKAP|SLC10A4	ARC	#993E17	C4-356	C3-123	C465-298: Pou3f1.Sst.GABA-4	0.752	1	0.01	0.01	0	0.08	0.18	0	0.07	0.01	0.02	0.01	0.12	1.26
C4-152 Mid-1 GABA-6 TRHDE CALCR	0.05	0	0.01	0.01	0.18	0	0.01	0.26	0.06	0	0	0.3	SOX6|DLK1|ADAMTS20|POU3F1|TMEM26	LH	#3D61CC	C4-152	C3-63	C465-235: Sox6.Adarb2.Hmcn1.GABA-1	0.876	1	0.02	0	0	0.1	0.54	0.01	0.1	0.02	0.03	0	0.12	1.59
C4-400 Mid-2 GLU-4 WNT7B NPY	0.05	0	0	0.13	0.03	0.02	0.09	0.23	0.07	0.01	0.04	0.28	LEF1|RSPO3|LPAR1|NPY|PIK3C2G			C4-400	C3-134															
C4-359 Mid-2 GABA-GLU-1 RGS22 NDNF	0.05	0.01	0.06	0.09	0.17	0.02	0	0.55	0.08	0.02	0.05	0.5	VGLL3|NDNF|GABRE|SST|OTP	ARC	#993E17	C4-359	C3-123	C465-294: Il1rapl2.Otp.Sst.GABA-4	0.833	1	0.01	0.07	0	0.1	0.67	0.01	0.09	0.08	0.04	0	0.36	1.05
C4-129 Mid-1 GABA-4 HMX3 CYSLTR2	0.05	0	0	0.08	0.55	0.03	0	0.11	0.1	0	0.25	0.36	HMX3|RORB|PLS3|COL4A6|TMEM114	MPOA	#532E99	C4-129	C3-56	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.826	1	0.09	0.02	0.01	2.05	2.9	0.04	0.35	0.03	0.02	0.01	0.11	1.23
C4-301 Mid-3 GLU-3 SLITRK6 NPSR1	0.05	0	0	0.15	0.07	0.02	0.02	0.36	0.12	0.71	0.02	0.01	NPSR1|DTHD1|STK32B|LYPD6|EBF3	MAM	#990073	C4-301	C3-107	C465-17: Npas1.Ebf3.Nxph4.GLU-2	0.9	1	0.09	0.08	0.01	0.26	0.36	0.02	0.79	0.09	0.02	0.54	0.27	0.19
C4-381 Mid-2 GABA-GLU-3 LEF1 NTS	0.05	0	0	1.78	0.06	0.02	0.05	0.87	0.06	0	0	0.32	LEF1|NTS|SP5|GPC3|TCF7L2	TMN	#73ABFF	C4-381	C3-131	C465-229: Npsr1.Barhl2.Lef1.GABA-1	0.88	1	0.01	0.02	0.01	0.56	1.01	0	0.15	0.04	0	0.02	0.09	1.09
C4-8 Pre-1 GABA-8 SLC1A3 CALCRL	0.05	0	0	0	0	0.02	0.02	0.25	0.01	0	0	0.15	MME|SLC38A11|TESPA1|LOXHD1|ABHD12B			C4-8	C3-24															
C4-38 Pre-1 GABA-2 EYA2 EPHA3	0.05	0.01	0	0.03	0	0.02	0.01	0.27	0.2	0	0.01	0.26	EYA2|MEIS1|NPFFR2|MEIS2|FOXP2			C4-38	C3-29	C465-308: Foxp2.Ccn1.Meis2.GABA-5	0.88	1	0.19	0	0	0.28	0.28	0.05	0.78	0	0.15	0	0.13	1.42
C4-299 Mid-3 GLU-3 SLITRK6 TAFA4	0.05	0.01	0	0.57	0.04	0.07	0.02	0.34	0.19	0.83	0.32	0.02	EBF3|DTHD1|CBLN2|TAFA4|STK32B	MAM	#990073	C4-299	C3-107															
C4-338 Mid-2 GLU-2 CALB1 RASSF6	0.05	0	0	0.43	0.01	0.02	0.02	0.3	0.09	0.01	0.01	0.02	RASSF6|FEZF1|C1QL2|ANKRD30A|SPHKAP	VMH	#CC3D7D	C4-338	C3-118	C465-60: Nkx2-2.Unassigned.Fezf1.GLU-3	0.898	4	0.01	0.13	0	1.31	0.32	0	0.05	0.06	0.02	0.01	0.05	0.07
C4-82 Mid-1 GABA-2 FAM9B ONECUT1	0.05	0	0	0.44	0.03	0.03	0	0.3	0.16	0	0.02	0.56	ONECUT1|POU6F2|TEX41|THSD7B|PTPRK	LH	#3D61CC	C4-82	C3-45															
C4-207 Pre-2 GABA-4 SATB2 TNS3	0.05	0.03	0	0.1	0.03	0.01	0.65	0.33	0.06	0	0	0.19	SATB2|COL15A1|EGFLAM|ZIC2|DGKK	MPOA	#532E99	C4-207	C3-79															
C4-93 Mid-1 GABA-3 ZNF385D ZIC2	0.04	0	0	0.04	0.07	0	0.12	0.28	0.13	0.01	0.02	0.46	ZIC2|NR2F1|PTPRK|SPHKAP|NPFFR2	DMH	#FF73C7	C4-93	C3-49	C465-158: Zic1.Zic3.Unassigned.Mixed.GABA-2	0.741	1	0.01	0	0	0.18	0.26	0.02	0.34	0.02	0.02	0	0.08	1.57
C4-28 Pre-1 GABA-1 PRKCH EBF1	0.04	0	0	0.01	0	0.01	0.74	0.3	0.06	0	0	0.14	EBF1|FAM160A1|PPP1R1B|U95743.1|AJ239322.1			C4-28	C3-27															
C4-87 Mid-1 GABA-2 SIX6	0.04	0.02	0	0.13	0.04	0.01	0.01	0.81	0.05	0.04	0.03	0.42	SIX6|GPR101|LHX1|TBL1Y|VEGFC	Perivent	#CC9F5C	C4-87	C3-47	C465-201: Sst.Arx.Lhx1.GABA-2	0.742	1	0.08	0.02	0	0.24	0.22	0.04	0.79	0.03	0.05	0.01	0.11	1.45
C4-192 Pre-2 GABA-3 GBX1 CASR	0.04	0	0.01	0.44	0.02	0	0.01	0.28	0.05	0.01	0.01	0.3	CASR|LHX8|FGF10|LHX6|GBX1	LPOA	#FFE926	C4-192	C3-74	C465-261: Pvalb.Gbx1.Sox6.Lhx8.GABA-1	0.71	1	0.05	0.01	0	0.33	0.23	0	0.02	0.02	0.22	0	0.09	2.01
C4-318 Mid-2 GLU-1 CHST9 CYP19A1	0.04	0	0	0.04	0.17	0.04	0.06	0.33	0.13	0	0.05	0.03	CYP19A1|FAM9B|PDE11A|HMX3|SLC17A6	MPOA	#532E99	C4-318	C3-114	C465-61: Epha6.Mc4r.Fezf1.GLU-3	0.81	1	0.47	0.12	0	0.61	0.27	0.02	0.19	0.05	0.01	0.01	0.07	0.06
C4-186 Pre-2 GABA-3 NXPH2 C1QL2	0.04	0	0	0.11	0	0	0.43	0.37	0.26	0	0	0.24	LHX8|LHX6|C1QL2|PIEZO2|CHRM2	LPOA	#FFE926	C4-186	C3-73	C465-259: Lhx6.Sfrp1.Sox6.Lhx8.GABA-1	0.913	1	0	0.01	0	0.14	0.19	0.01	0.16	0.01	0.04	0	0.12	1.75
C4-63 Mid-1 GABA-1 BRS3	0.04	0.03	0	0.09	0.05	0.02	0.09	0.35	0.05	0	0.13	0.38	SATB2|BRS3|SLC6A3|TH|PTGFR	Perivent	#CC9F5C	C4-63	C3-41	C465-318: Th.Slc6a3.Satb2.GABA-6	0.954	3	0.01	0.07	0	1.26	0.61	0.09	0.07	0	0.08	0	0.07	0.99
C4-265 Mid-3 GLU-1 ONECUT3 OPN5	0.04	0	0	0.03	0.01	0.01	0.01	0.36	0.02	0	0.28	0.05	OPN5|ONECUT3|LHX9|EMX2|WDR72	POA	#F64DFF	C4-265	C3-98	C465-34: Tbr1.Gng8.Samd3.GLU-2	0.851	1	0.05	0	0.01	0.16	0.56	0.03	0.1	0.05	0.02	0.05	0.87	0.39
C4-197 Pre-2 GABA-4 FIGN CYP19A1	0.04	0	0	0.58	0	0	0.01	0.19	0.04	0	0.03	0.38	CYP19A1|ARHGAP36|LHX6|NR2F1|SCN5A			C4-197	C3-77	C465-210: Aldh3b2.GABA-2	0.818	1	0.05	0.02	0	0.64	0.37	0.01	0.1	0.01	0.03	0	0.06	1.73
C4-49 Pre-1 GABA-3 CRH SCGN	0.04	0	0	0.04	0.95	0	0.02	0.39	0.12	0	0	0.25	SCGN|OR8A1|POU6F2|DLK1|ZIC1	LPOA	#FFE926	C4-49	C3-34	C465-163: Sp8.Unassigned.Pnoc.Mixed.GABA-2	0.748	1	0.02	0.1	0.01	0.15	0.38	0.02	0.36	0.07	0	0	0.04	1.22
C4-307 Mid-3 GLU-3 METTL11B CALCR	0.04	0	0.01	1.29	0.07	0.1	0.03	0.31	0.19	0.61	0.68	0.02	METTL11B|ITGA6|EBF3|DOCK5|STK32B			C4-307	C3-109	C465-13: Ebf3.Stk26.Nxph4.GLU-2	0.917	1	0	0	0	0.12	0.24	0.01	0.09	0.01	0.02	0.36	0.93	0.14
C4-200 Pre-2 GABA-4 LHX6 ZIC2	0.04	0	0.01	0.02	0.02	0.01	0.02	0.32	0.09	0	0.02	0.34	ZIC2|LHX6|ADAMTSL1|RELN|NR2F1			C4-200	C3-78	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	0.796	1	0.03	0.02	0	0.29	1.56	0.02	0.75	0	0.01	0.01	0.38	1.52
C4-145 Mid-1 GABA-5 RORB CGNL1	0.04	0.03	0.01	2.18	0.98	0	0.09	0.23	0.3	0	0.15	0.56	NTS|PENK|RORB|GABRE|CGNL1	MPOA	#532E99	C4-145	C3-60															
C4-394 Mid-2 GLU-4 ANKRD30A CASR	0.04	0.02	0	0.32	0.04	0.03	0.01	0.44	0.01	0	0	0.02	CASR|LEF1|ONECUT1|BMP4|ITIH5			C4-394	C3-133															
C4-232 Post-1 GLU-2 CRYBG3 THSD7B	0.04	0	0	0.81	0.02	0.02	0	0.38	0.09	0.58	0.09	0	SKOR2|PITX2|MLIP|THSD7B|PANCR			C4-232	C3-86	C465-44: Tac2.Ebf3.Foxb1.GLU-2	0.835	1	0	0.05	0	0.63	0.22	0.21	1.38	0.13	0.01	0.43	0.11	0.09
C4-333 Mid-2 GLU-2 CALB1 ONECUT1	0.04	0.02	0	0.78	0.05	0.02	0.01	0.22	0.04	0.05	0.01	0.01	FAM9B|FEZF1|HS3ST4|NTNG1|PTH2R	VMH	#CC3D7D	C4-333	C3-118	C465-56: Nkain3.Egflam.Unassigned.Fezf1.GLU-3	0.78	1	0.06	0.04	0	0.17	0.24	0.01	0.05	0.08	0.03	0.01	0.06	0.07
C4-289 Mid-3 GLU-2 ITGA8 LRP2	0.04	0	0	0.05	0.01	0	0.01	0.29	0.02	0.54	0.32	0.02	ITGA8|CARD11|EBF1|ONECUT1|LRP2	LH	#3D61CC	C4-289	C3-104	C465-25: Npas3.Gsc.Ebf1.Trh.GLU-2	0.852	1	0.04	0.1	0.01	0.19	0.42	0.02	0.14	0.03	0.01	0.56	2.44	0.13
C4-317 Mid-2 GLU-1 CHST9 LHX9	0.04	0	0	0.05	0.12	0.06	0	0.29	0.03	0	0.12	0.03	EOMES|LHX9|PGR|SLC16A12|CHST9	MPOA	#532E99	C4-317	C3-114	C465-110: C1ql2.Eomes.Lhx9.Mixed.GLU-4	0.928	1	0.22	0.06	0	1.32	1.36	0.57	0.31	0.01	0.02	0.01	0.1	0.08
C4-354 Mid-2 GLU-2 PGR PENK	0.04	0	0	0.74	0.37	0.03	0	0.31	0.02	0	0.1	0.01	PGR|FEZF1|HS3ST4|ADAMTSL1|WDR49	VMH	#CC3D7D	C4-354	C3-122	C465-67: Greb1.Moxd1.Cd40.GLU-3	0.79	1	0.38	0.18	0.01	0.1	1.11	0.04	0.09	0.04	0.01	0.01	0.1	0.15
C4-123 Mid-1 GABA-4 HMX3 KISS1	0.04	0.01	0	0.11	0.31	0.61	0.01	0.16	0.18	0	0.29	0.5	PGR|ESR1|KISS1|ROR2|FAM9B	MPOA	#532E99	C4-123	C3-56	C465-275: Slc18a2.Dlx1.Gal.Nts.GABA-1	0.941	1	0.06	0.05	0	1.54	2.4	2.51	0.23	0	0.1	0	0.15	1.25
C4-23 Pre-1 GABA-1 SEMA3C HGF	0.04	0	0	0.02	0	0.01	0.12	0.22	0.08	0	0	0.23	CXCL13|HGF|CXCL14|SLC25A48|FAM160A1			C4-23	C3-26															
C4-287 Mid-3 GLU-2 EBF2 EBF1	0.04	0	0	0.15	0.03	0.04	0.02	0.27	0.06	0.98	0.86	0.01	EBF2|EBF1|OTP|SIM1|NWD2	LH	#3D61CC	C4-287	C3-103	C465-26: Sall3.Gsc.Ebf1.Trh.GLU-2	0.759	1	0	0.06	0	0.32	0.35	0	0.16	0.08	0.01	0.49	2.97	0.21
C4-266 Mid-3 GLU-1 DLK1 TAC1	0.04	0	0	0.04	0.05	0	0.02	0.37	0.06	0.03	0.15	0.06	TBR1|LHX9|PLPP4|COL9A1|GRIK1			C4-266	C3-99	C465-37: Mab21l2.Tbr1.Meis2.Samd3.GLU-2	0.818	1	0.03	0.01	0.05	1.06	0.19	0.03	0.09	0	0.01	0.03	0.27	0.21
C4-92 Mid-1 GABA-3 LHX1 PAX6	0.03	0	0.06	0.18	0.11	0	0.01	0.29	0.12	0	0.06	0.38	PAX6|CYP26A1|CDH23|POU6F2|KCNMB2	LH	#3D61CC	C4-92	C3-48															
C4-12 Pre-1 GABA-8 SLC1A3 PDYN	0.03	0	0	0	0	0.01	0.01	0.27	0	0	0	0.15	SH3RF2|PDYN|C6orf141|AP003121.1|AP001993.1			C4-12	C3-24	C465-188: Cebpa.Prok2.Fam122b.Vipr2.GABA-2	0.843	2	0	0	0	0.03	0.06	0.01	0.01	0	0	0	0.04	1.12
C4-45 Pre-1 GABA-3 PRDM16 LHX8	0.03	0	0.07	0	0.01	0	0.01	0.44	0.16	0	0.01	0.22	PRDM16|MOXD1|LHX8|CDH23|FREM2	POA	#F64DFF	C4-45	C3-32															
C4-329 Mid-2 GLU-1 LHX9 OTP	0.03	0	0	0.03	0.02	0.04	0	0.19	0.09	0	0.14	0.01	LHX9|RERGL|FEZF2|NKX2-2|EDARADD	LH	#3D61CC	C4-329	C3-117	C465-119: Fezf2.Qrfp.Rfx4.GLU-4	0.869	1	0.04	0.01	0	0.13	1.05	0.03	0.05	0.01	0.05	0.01	0.12	0.08
C4-151 Mid-1 GABA-6 TRHDE RELN	0.03	0	0	0.08	0.27	0.03	0.08	0.16	0.25	0.01	0.02	0.41	SLC10A4|ITGA2|SOX6|RORB|RELN	LH	#3D61CC	C4-151	C3-63	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.835	1	0.01	0.01	0.01	0.12	0.17	0.01	0.04	0.02	0.06	0.01	0.05	1.29
C4-384 Mid-2 GABA-GLU-3 PGR ANKRD30A	0.03	0	0.01	0.07	0.03	0.11	0.17	0.37	0.06	0.16	0.03	0.06	ANKRD30A	ARC	#993E17	C4-384	C3-132															
C4-351 Mid-2 GLU-2 PGR SATB2	0.03	0.01	0.01	0.03	0.12	0.01	0	0.44	0.06	0.02	0.05	0.01	PGR|SATB2|CGNL1|FEZF1|CBLN1	VMH	#CC3D7D	C4-351	C3-122	C465-67: Greb1.Moxd1.Cd40.GLU-3	0.788	1	0.38	0.18	0.01	0.1	1.11	0.04	0.09	0.04	0.01	0.01	0.1	0.15
C4-176 Pre-2 GABA-2 MDFIC ROR1	0.03	0	0	0.35	0	0	0	0.44	0.02	0	0	0.22	NR2E1|ROR1|NXPH2|THSD7B|TRHDE	POA	#F64DFF	C4-176	C3-71															
C4-50 Pre-1 GABA-3 CRH VIPR2	0.03	0	0	0.39	0.02	0	0.61	0.3	0.05	0.02	0.02	0.23	EBF1|VIPR2|MEIS2|MPPED1|PNOC	LPOA	#FFE926	C4-50	C3-34															
C4-235 Post-1 GLU-2 IL1RAPL2 TOX3	0.03	0	0	0.14	0.04	0.03	0.15	0.36	0.19	0.89	0.19	0.02	EBF3|EYA1|IL1RAPL2|SIM1|EMX2	MAM	#990073	C4-235	C3-87	C465-43: Postn.Ebf3.Foxb1.GLU-2	0.873	1	0.03	0	0.01	0.22	0.31	0.03	0.22	0.03	0.02	0.53	0.11	0.09
C4-51 Pre-1 GABA-3 CRH PDYN	0.03	0.01	0	0.01	0.86	0.01	0.26	0.34	0.07	0	0.02	0.32	CRH|PDYN|TNC|ADRA1B|PTN	LPOA	#FFE926	C4-51	C3-34															
C4-248 Post-1 GLU-3 AGTR1 EPB41L4A	0.03	0	0	0.04	0.05	0.01	0.01	0.32	0.04	0.01	0.01	0.01	LMX1A|CRNDE|IRX3|CARTPT|TTC6	MAM	#990073	C4-248	C3-92	C465-10: Pard3b.Nts.Irx5.GLU-2	0.936	2	0.11	0.12	0	1.97	0.29	0.01	0.14	0.11	0.03	0.01	0.09	0.17
C4-236 Post-1 GLU-2 IL1RAPL2 NTS	0.03	0.01	0	1.4	0.04	0.04	0.09	0.27	0.2	0.81	0.05	0.02	IL1RAPL2|EMX2|EBF3|EYA1|EMX2OS	MAM	#990073	C4-236	C3-87	C465-45: Gpc5.Ebf3.Foxb1.GLU-2	0.823	1	0.01	0	0	0.18	0.16	0	0.12	0.01	0.13	0.74	0.06	0.06
C4-11 Pre-1 GABA-8 SLC1A3 HGF	0.03	0	0	0.01	0.02	0.01	0.05	0.27	0.07	0	0	0.29	HGF|CXCL14|DRD1|SLC25A48|PDYN			C4-11	C3-24															
C4-76 Mid-1 GABA-2 CLMP MBNL3	0.03	0.02	0	0.05	0.02	0	0.04	0.51	0.07	0.01	0	0.31	ARHGAP36|SP9|Z96074.1|ECEL1|DLK1	SCN	#FF7300	C4-76	C3-43	C465-165: Cxcl14.Pnoc.Mixed.GABA-2	0.777	1	0.02	0.02	0	0.44	0.67	0.11	0.13	0.01	0.01	0	0.09	1.58
C4-133 Mid-1 GABA-5 TRPC4 NTS	0.03	0	0	2.07	0.14	0.01	0.05	0.48	0.22	0	0.08	0.52	NTS|KC877982.1|ARHGAP36|SHOX2|BHLHE22			C4-133	C3-57															
C4-64 Mid-1 GABA-1 NR5A2	0.03	0.31	0	0.16	0.07	0	0	0.47	0.03	0.03	0	0.49	SLC6A3|NR5A2|DLK1|MC3R|ITIH5	Perivent	#CC9F5C	C4-64	C3-41	C465-320: Nr5a2.Satb2.GABA-6	0.79	1	0	0.23	0	0.26	0.26	0.07	0.08	0.05	0.03	0	0.09	1.2
C4-199 Pre-2 GABA-4 FIGN NXPH2	0.03	0	0	0.21	0.01	0.01	0	0.39	0.05	0	0.02	0.32	NXPH2|NR2E1|LHX6|CYP19A1|ARHGAP36			C4-199	C3-77	C465-210: Aldh3b2.GABA-2	0.837	1	0.05	0.02	0	0.64	0.37	0.01	0.1	0.01	0.03	0	0.06	1.73
C4-275 Mid-3 GLU-1 OTP ZIC2	0.03	0	0.01	0.12	0.01	0	0	0.37	0.05	0.47	0.19	0	ZIC2|POSTN|ZIC1|SMOC1|NWD2	Thalamaus		C4-275	C3-100															
C4-316 Mid-2 GLU-1 CHST9 NMBR	0.03	0	0	0.04	0.02	0.02	0.03	0.26	0.12	0.01	0.08	0.03	EOMES|FAM9B|SLC16A12|NMBR|STK32B	MPOA	#532E99	C4-316	C3-114	C465-111: Unassigned.Eomes.Lhx9.Mixed.GLU-4	0.769	1	0.1	0.04	0	0.23	0.53	0	0.13	0.02	0.01	0.05	0.07	0.04
C4-395 Mid-2 GLU-4 WNT7B MCTP2	0.03	0.01	0	0.17	0.06	0.03	0.01	0.24	0.03	0	0.03	0	WNT7B|MCTP2|SLC18A2|WIF1|LPAR1			C4-395	C3-134															
C4-342 Mid-2 GLU-2 MEGF10 NR5A2	0.03	0	0	0.16	0.06	0	0	0.28	0.08	0	0	0.1	NR5A2|SOX14|PRSS12|THSD7B|COL12A1	VMH	#CC3D7D	C4-342	C3-119	C465-80: Vgll2.Nr5a1.Tcf7l2.Gpr149.GLU-3	0.744	1	0.01	0.07	0.01	0.16	0.29	0.02	0.09	0.1	0.01	0	0.09	0.11
C4-282 Mid-3 GLU-2 OTP EBF1	0.03	0	0	0.06	0.07	0.01	0	0.28	0.19	0.88	1.08	0.12	FAM83B|EBF1|OTP|TRH|SIM1	Vent	#889945	C4-282	C3-102	C465-24: Otp.Gsc.Ebf1.Trh.GLU-2	0.825	1	0.01	0.03	0	0.3	0.67	0.02	0.13	0.03	0.03	0.49	1.87	0.31
C4-111 Mid-1 GABA-3 ECEL1 ABI3BP	0.03	0	0	1.18	0.03	0	0.06	0.38	0.09	0	0.02	0.37	DLK1|NR2F1|ST18|GABRQ|KCNMB2	DMH	#FF73C7	C4-111	C3-52	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.797	1	0.02	0.01	0	0.15	0.77	0.02	0.27	0.03	0.02	0.02	0.19	1.53
C4-379 Mid-2 GABA-GLU-3 PDGFD HMCN1	0.03	0	0	0.38	0.12	0.01	0.04	0.22	0.53	0.02	0.18	0.24	BRS3|HMCN1|PIK3C2G|RERGL|TBX3	ARC	#993E17	C4-379	C3-130	C465-247: Pbx3.Lhx6.GABA-1	0.74	1	0.03	0.01	0	0.12	1.98	0.01	0.13	0.03	0.26	0.01	0.67	1.1
C4-30 Pre-1 GABA-1 KCNH8 PTPRQ	0.03	0	0	0.06	0	0.01	0.39	0.29	0.03	0	0.01	0.24	TMEM215|FST|U95743.1|DCDC2C|FAM160A1			C4-30	C3-28															
C4-285 Mid-3 GLU-2 OTP NXPH2	0.03	0	0	0.02	0.03	0.01	0.03	0.24	0.01	1.29	1.49	0.02	UCN3|NXPH2|CARTPT|TRH|GHSR	Vent	#889945	C4-285	C3-102	C465-31: Ucn3.Trh.GLU-2	0.895	1	0.09	0.06	0	0.12	1.72	0.08	0.03	0.02	0	0.66	3.4	0.06
C4-66 Mid-1 GABA-2 LGR5 NMS	0.03	0	0	1.71	0.01	0	0.03	0.31	0.01	0.01	0.06	0.41	NMS|COL4A6|VIPR2|COL4A5|RORB	SCN	#FF7300	C4-66	C3-42															
C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1	0.03	0	0	0.04	0.07	0.02	0.02	0.74	0.18	0	0.02	0.49	HMCN1|MYO3B|ADAMTSL1|TLL1|OTP	LTN	#179924	C4-150	C3-62	C465-219: Epha3.Il1rapl2.GABA-1	0.927	1	0	0.01	0.01	0.11	0.28	0.01	0.07	0.03	0.02	0.01	0.07	1.12
C4-370 Mid-2 GLU-3 PDZRN4 PMCH	0.03	0	0.01	0.03	0.05	0.01	0	0.28	0.02	0.01	0.01	0.02	PMCH|OTX1|IGF1|OSBPL3|SLC15A1	Thalamus	#C2CC00	C4-370	C3-127	C465-137: Parpbp.Pmch.GLU-7	0.94	1	0	0.04	0	0.06	0.29	0.01	0.08	0.01	0.03	0.03	0.08	0.08
C4-273 Mid-3 GLU-1 DLK1 TSPEAR	0.03	0	0.02	0	0	0	0	0.36	0.03	0	0.39	0.01	TBR1|FIRRE|ONECUT1|PAX6|DLK1			C4-273	C3-99	C465-40: Ucn3.Meis2.Samd3.GLU-2	0.745	1	0.02	0.05	0.02	0.11	0.37	0.12	0.33	0.01	0.02	0.02	0.75	0.11
C4-389 Mid-2 GABA-GLU-3 PGR TGFBR2	0.02	0.01	0.01	0.02	0.05	0.88	1.71	0.18	0.02	0	0.01	0.02	CERNA2|SKOR2|UGT2B7|IGFBP3|TGFBR2	ARC	#993E17	C4-389	C3-132															
C4-169 Pre-2 GABA-1 TAC3 RERGL	0.02	0	0.02	0.05	0.02	0.01	0.79	0.26	0.84	0.01	0.24	0.22	RERGL|NXPH2|LHX6|FNDC1|EGFR	POA	#F64DFF	C4-169	C3-69	C465-246: Lhx8.St18.Lhx6.GABA-1	0.887	1	0.04	0.24	0	0.17	0.62	0	1.09	0.04	0.82	0	1.76	1.8
C4-243 Post-1 GLU-2 ADGRG4 NTS	0.02	0	0	2.87	0.06	0.01	0.06	0.25	0.07	1	0.01	0.02	NTS|TWIST2|KCNMB1|ADGRG4|NFIA	MAM	#990073	C4-243	C3-90															
C4-110 Mid-1 GABA-3 ECEL1 GPC3	0.02	0	0.01	0.04	0.06	0	0	0.21	0.26	0.02	0.11	0.54	GPC3|MEIS2|SST|ECEL1|ZEB2	DMH	#FF73C7	C4-110	C3-52	C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.907	1	0.02	0.02	0.01	0.43	0.8	0.03	0.62	0.04	0.03	0.01	0.12	1.66
C4-347 Mid-2 GLU-2 SLC22A10 GSTA1	0.02	0.01	0.01	0.04	0.05	0.01	0	0.35	0.03	0.01	0.01	0.01	GSTA1|PGR|ADAMTSL1|DNAH11|HS3ST4	VMH	#CC3D7D	C4-347	C3-121	C465-70: Gpc5.Gldn.Cbln4.Cd40.GLU-3	0.859	2	0.04	0.18	0	0.1	0.33	0.02	0.05	0.09	0.01	0	0.05	0.07
C4-163 Mid-1 GABA-7 KCNH8 MORC1	0.02	0.01	0	0.1	0.07	0.02	0.02	0.46	0.2	0	0.02	0.37	LEF1|MORC1|CCBE1|CASR|CCKAR	TMN	#73ABFF	C4-163	C3-66	C465-224: Fign.Lef1.GABA-1	0.833	1	0.22	0.01	0	0.33	1.95	0.02	0.92	0.09	0.01	0.01	0.1	1.36
C4-172 Pre-2 GABA-1 IL1RAPL2 CHST9	0.02	0	0	0.02	0	0	0.01	0.19	0.45	0	0.01	0.15	CCBE1|MAF|LHX6|GPD1|ZEB2	LPOA	#FFE926	C4-172	C3-70	C465-252: Igfbp4.Lhx6.GABA-1	0.767	1	0.09	0.27	0	0.13	0.23	0.01	1.1	0	0.85	0	0.14	1.79
C4-86 Mid-1 GABA-2 PMFBP1 ARHGAP36	0.02	0	0	0.01	0.06	0	0.01	0.27	0.07	0	0.03	0.31	ONECUT3|PMFBP1|ONECUT1|CHST9|ARHGAP36	LH	#3D61CC	C4-86	C3-46	C465-196: Tacr3.Onecut3.Onecut2.GABA-2	0.819	1	0.17	0.01	0.01	0.17	0.19	0.02	0.07	0.01	0.11	0	0.12	1.42
C4-276 Mid-3 GLU-1 OTP MEIS1	0.02	0	0	0.04	0.03	0.01	0.02	0.28	0.02	0	0	0	LHX9|LHX2|MEIS1|NPSR1|SAMD3	Thalamaus		C4-276	C3-100	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	0.732	1	0.06	0.01	0.01	0.71	0.16	0.01	0.1	0.26	0.03	0.04	0.08	0.12
C4-209 Pre-2 GABA-4 CHST9 SATB2	0.02	0.01	0.01	0.04	0.01	0	0.04	0.32	0.14	0.01	0.02	0.37	SATB2|SGCG|CYP19A1|MOXD1|LHX6	POA	#F64DFF	C4-209	C3-80	C465-251: Crhbp.Dlx1.Lhx6.GABA-1	0.791	1	0.03	0.01	0	0.36	0.44	0.03	0.95	0.01	0.01	0	0.06	1.64
C4-320 Mid-2 GLU-1 ITGA2 ANKRD30A	0.02	0	0	0.4	0.11	0.01	0.01	0.28	0.09	0.01	0.07	0.06	WIF1|ANKRD30A|SOX3|FAM9B|SOX4	MPOA	#532E99	C4-320	C3-115	C465-113: Shisal2b.Lhx9.Mixed.GLU-4	0.787	1	0.04	0.04	0	0.14	0.24	0.2	0.33	0	0.01	0.01	0.12	0.11
C4-2 Pre-1 GABA-8 PRKCH PDYN	0.02	0	0	0	0	0	0.48	0.39	0.04	0	0	0.24	PDYN|EBF1|SH3RF2|MEIS2|PDE1C			C4-2	C3-22															
